Manufacturer,Model,MSRP
BMW,2020 BMW 2 Series,"$38,495 "
BMW,2020 BMW 3 Series,"$41,745 "
BMW,2020 BMW 4 Series,"$45,745 "
BMW,2020 BMW 5 Series,"$54,895 "
BMW,2019 BMW 6 Series,"$71,295 "
BMW,2020 BMW 7 Series,"$87,445 "
BMW,2020 BMW 8 Series,"$109,895 "
BMW,2019 BMW M5,"$104,695 "
BMW,2019 BMW M6,"$122,195 "
BMW,2020 BMW X1,"$36,195 "
BMW,2020 BMW X2,"$37,395 "
BMW,2020 BMW X3,"$42,945 "
BMW,2020 BMW X3 M,"$70,895 "
BMW,2020 BMW X4,"$52,095 "
BMW,2020 BMW X5,"$59,895 "
BMW,2020 BMW X6,"$65,295 "
BMW,2019 BMW X6 M,"$106,695 "
BMW,2020 BMW X7,"$74,895 "
BMW,2020 BMW X1,"$36,195 "
BMW,2020 BMW X2,"$37,395 "
BMW,2020 BMW X3,"$42,945 "
BMW,2020 BMW X3 M,"$70,895 "
BMW,2020 BMW X4,"$52,095 "
BMW,2020 BMW X5,"$59,895 "
BMW,2020 BMW X6,"$65,295 "
BMW,2019 BMW X6 M,"$106,695 "
BMW,2020 BMW X7,"$74,895 "
BMW,2020 BMW 2 Series,"$42,095 "
BMW,2020 BMW 3 Series,"$41,745 "
BMW,2020 BMW 4 Series,"$54,095 "
BMW,2020 BMW 5 Series,"$54,895 "
BMW,2019 BMW 6 Series,"$71,295 "
BMW,2020 BMW 7 Series,"$87,445 "
BMW,2019 BMW 8 Series,"$122,395 "
BMW,2019 BMW i3,"$45,445 "
BMW,2019 BMW i8,"$164,295 "
BMW,2020 BMW M2,"$59,895 "
BMW,2019 BMW M4,"$78,645 "
BMW,2019 BMW M5,"$104,695 "
BMW,2019 BMW M6,"$122,195 "
BMW,2020 BMW X1,"$36,195 "
BMW,2020 BMW X2,"$37,395 "
BMW,2020 BMW X3,"$42,945 "
BMW,2020 BMW X3 M,"$70,895 "
BMW,2020 BMW X4,"$52,095 "
BMW,2020 BMW X5,"$59,895 "
BMW,2020 BMW X6,"$65,295 "
BMW,2019 BMW X6 M,"$106,695 "
BMW,2020 BMW X7,"$74,895 "
BMW,2020 BMW Z4,"$50,695 "
BMW,2020 BMW 5 Series,"$54,895 "
BMW,2020 BMW 7 Series,"$96,545 "
BMW,2019 BMW i3,"$49,295 "
BMW,2019 BMW i8,"$164,295 "
BMW,2021 BMW X3,"$50,595 "
BMW,2020 BMW 5 Series,"$54,895 "
BMW,2020 BMW 7 Series,"$96,545 "
BMW,2019 BMW i3,"$45,445 "
BMW,2019 BMW i8,"$164,295 "
BMW,2021 BMW X3,"$50,595 "
BMW,2020 BMW 2 Series,"$36,295 "
BMW,2020 BMW 4 Series,"$45,945 "
BMW,2019 BMW 6 Series,"$82,495 "
BMW,2019 BMW 8 Series,"$112,895 "
BMW,2019 BMW i8,"$148,495 "
BMW,2020 BMW M2,"$59,895 "
BMW,2019 BMW M4,"$70,145 "
BMW,2019 BMW M6,"$122,195 "
BMW,2020 BMW Z4,"$50,695 "
BMW,2020 BMW 4 Series,"$45,745 "
BMW,2019 BMW 6 Series,"$71,295 "
BMW,2019 BMW i3,"$45,445 "
BMW,2020 BMW 2 Series,"$42,095 "
BMW,2020 BMW 4 Series,"$54,095 "
BMW,2019 BMW 8 Series,"$122,395 "
BMW,2019 BMW i8,"$164,295 "
BMW,2019 BMW M4,"$78,645 "
BMW,2020 BMW Z4,"$50,695 "
Audi,2020 Audi A3,"$34,295 "
Audi,2020 Audi A4,"$38,395 "
Audi,2020 Audi A5,"$43,895 "
Audi,2020 Audi A6,"$55,895 "
Audi,2021 Audi A7,"$70,245 "
Audi,2019 Audi RS 5,"$75,195 "
Audi,2020 Audi S3,"$43,995 "
Audi,2020 Audi S4,"$50,895 "
Audi,2020 Audi S8,"$130,495 "
Audi,2019 Audi e-tron,"$75,795 "
Audi,2020 Audi Q3,"$35,695 "
Audi,2019 Audi Q5,"$43,945 "
Audi,2020 Audi Q7,"$55,795 "
Audi,2021 Audi Q8,"$69,295 "
Audi,2020 Audi SQ5,"$53,895 "
Audi,2020 Audi Q3,"$35,695 "
Audi,2019 Audi Q5,"$43,945 "
Audi,2020 Audi Q7,"$55,795 "
Audi,2021 Audi Q8,"$69,295 "
Audi,2020 Audi SQ5,"$53,895 "
Audi,2020 Audi A3,"$34,295 "
Audi,2020 Audi A4,"$38,395 "
Audi,2019 Audi A4 allroad,"$46,695 "
Audi,2020 Audi A5,"$50,895 "
Audi,2020 Audi A6,"$55,895 "
Audi,2020 Audi A6 allroad,"$66,895 "
Audi,2021 Audi A7,"$70,245 "
Audi,2019 Audi e-tron,"$75,795 "
Audi,2020 Audi Q3,"$35,695 "
