,Hyundai,Accent ," $16,270.00 ",Manufacturer,Model,MSRP,Company
0,Hyundai,Eleantra ," $20,275.00 ",,,,
1,Hyundai,Ioniq Elecrtic ," $34,020.00 ",,,,
2,Hyundai,Ioniq Hybrid ," $24,175.00 ",,,,
3,Hyundai,loniq Plug- In Hybrid ," $27,475.00 ",,,,
4,Hyundai,Sonata ," $26,695.00 ",,,,
5,Hyundai,Sonata Hybrid," $28,725.00 ",,,,
6,Hyundai,Sonata Plug -In Hybrid," $34,355.00 ",,,,
7,Hyundai,Kona ," $21,540.00 ",,,,
8,Hyundai,Kona Electric," $38,330.00 ",,,,
9,Hyundai,Nexo ," $59,875.00 ",,,,
10,Hyundai,Palisade," $33,665.00 ",,,,
11,Hyundai,Sante Fe," $27,415.00 ",,,,
12,Hyundai,Tuscon," $27,840.00 ",,,,
13,Hyundai,Venue," $18,490.00 ",,,,
14,Hyundai,Veloater ," $19,775.00 ",,,,
15,Honda ,Accord ," $22,225.00 ",,,,
16,Honda ,Accord Hybrid," $26,825.00 ",,,,
17,Honda ,Civic," $20,955.00 ",,,,
18,Honda ,Civic Type R," $37,950.00 ",,,,
19,Honda ,Clarity Electric ," $37,575.00 ",,,,
20,Honda ,Clarity Full Cell," $59,445.00 ",,,,
21,Honda ,Clarity Plug-In Hybrid," $34,355.00 ",,,,
22,Honda ,Fit," $17,145.00 ",,,,
23,Honda ,Insight ," $23,885.00 ",,,,
24,Honda ,CR-V," $26,270.00 ",,,,
25,Honda ,CR-V Hybrid," $28,970.00 ",,,,
26,Honda ,HR-V ," $22,040.00 ",,,,
27,Honda ,Passport ," $33,710.00 ",,,,
28,Honda ,Pilot ," $33,770.00 ",,,,
29,Honda ,Ridgeline," $35,020.00 ",,,,
30,Honda ,Odyseey," $32,910.00 ",,,,
31,Toyota,Avalon," $36,870.00 ",,,,
32,Toyota,Avalon Hybrid," $37,955.00 ",,,,
33,Toyota,Camry," $25,420.00 ",,,,
34,Toyota,Camry Hybrid," $29,385.00 ",,,,
35,Toyota,Corolla," $20,780.00 ",,,,
36,Toyota,Corolla Hybrid," $24,355.00 ",,,,
37,Toyota,Mirai," $59,505.00 ",,,,
38,Toyota,Prius," $25,480.00 ",,,,
39,Toyota,Prius Prime," $28,855.00 ",,,,
40,Toyota,Yaris," $16,605.00 ",,,,
41,Toyota,4Runner," $37,240.00 ",,,,
42,Toyota,C-HR," $22,415.00 ",,,,
43,Toyota,Highlander," $35,720.00 ",,,,
44,Toyota,Highlander Hybrid," $39,585.00 ",,,,
45,Toyota,Land Cruiser," $86,740.00 ",,,,
46,Toyota,Rav4," $24,225.00 ",,,,
47,Toyota,Rav4 Hybrid," $29,675.00 ",,,,
48,Toyota,Rav4 Prime ," $39,220.00 ",,,,
49,Toyota,Sequoia," $51,375.00 ",,,,
50,Toyota,Venza," $33,645.00 ",,,,
51,Toyota,Tacoma Access Cab," $27,170.00 ",,,,
52,Toyota,Tacoma Access Double Cab," $39,910.00 ",,,,
53,Toyota,Turndra CrewMax," $39,445.00 ",,,,
54,Toyota,Tundra Double Cab," $35,170.00 ",,,,
55,Toyota,Sienna," $32,760.00 ",,,,
56,Toyota,86," $28,015.00 ",,,,
57,Toyota,Gr Supra ," $50,945.00 ",,,,
58,Toyota,Corolla Hatchback ," $21,560.00 ",,,,
59,Toyota,Yaris Hatchback ," $18,705.00 ",,,,
60,Toyota,Corolla Hatchback ," $21,560.00 ",,,,
61,Mazda,Mazda3," $21,445.00 ",,,,
62,Mazda,Mazda6," $25,045.00 ",,,,
63,Mazda,CX-3," $21,740.00 ",,,,
64,Mazda,CX-30," $23,000.00 ",,,,
65,Mazda,CX-5," $26,370.00 ",,,,
66,Mazda,CX-9," $35,060.00 ",,,,
67,Mazda,MX-5 Miata RF," $33,990.00 ",,,,
68,Mazda,MX-5 Miata," $27,525.00 ",,,,
69,Nissan,Altima ," $25,225.00 ",,,,
70,Nissan,Maxima ," $35,375.00 ",,,,
71,Nissan,Sentra," $20,235.00 ",,,,
72,Nissan,Versa," $15,755.00 ",,,,
73,Nissan,Versa Note ," $16,575.00 ",,,,
74,Nissan,Armada," $48,895.00 ",,,,
75,Nissan,Kicks," $20,165.00 ",,,,
76,Nissan,Murano," $32,825.00 ",,,,
77,Nissan,Pathfinder," $33,075.00 ",,,,
78,Nissan,Rogue," $26,585.00 ",,,,
79,Nissan,Rogue Sport," $24,525.00 ",,,,
80,Nissan,Frontier Crew Cab ," $28,995.00 ",,,,
81,Nissan,Frontier King Cab ," $27,885.00 ",,,,
82,Nissan,Titan Crew Cab," $40,485.00 ",,,,
83,Nissan,Titan King Cab," $37,785.00 ",,,,
84,Nissan,Titan Single Cab," $32,285.00 ",,,,
85,Nissan,Leaf," $32,525.00 ",,,,
86,Nissan,370Z," $31,015.00 ",,,,
87,Nissan,GT-R," $115,335.00 ",,,,
88,,,,BMW,2020 BMW 2 Series,"$38,495 ",
89,,,,BMW,2020 BMW 3 Series,"$41,745 ",
90,,,,BMW,2020 BMW 4 Series,"$45,745 ",
91,,,,BMW,2020 BMW 5 Series,"$54,895 ",
92,,,,BMW,2019 BMW 6 Series,"$71,295 ",
93,,,,BMW,2020 BMW 7 Series,"$87,445 ",
94,,,,BMW,2020 BMW 8 Series,"$109,895 ",
95,,,,BMW,2019 BMW M5,"$104,695 ",
96,,,,BMW,2019 BMW M6,"$122,195 ",
97,,,,BMW,2020 BMW X1,"$36,195 ",
98,,,,BMW,2020 BMW X2,"$37,395 ",
99,,,,BMW,2020 BMW X3,"$42,945 ",
100,,,,BMW,2020 BMW X3 M,"$70,895 ",
101,,,,BMW,2020 BMW X4,"$52,095 ",
102,,,,BMW,2020 BMW X5,"$59,895 ",
103,,,,BMW,2020 BMW X6,"$65,295 ",
104,,,,BMW,2019 BMW X6 M,"$106,695 ",
105,,,,BMW,2020 BMW X7,"$74,895 ",
106,,,,BMW,2020 BMW X1,"$36,195 ",
107,,,,BMW,2020 BMW X2,"$37,395 ",
108,,,,BMW,2020 BMW X3,"$42,945 ",
109,,,,BMW,2020 BMW X3 M,"$70,895 ",
110,,,,BMW,2020 BMW X4,"$52,095 ",
111,,,,BMW,2020 BMW X5,"$59,895 ",
112,,,,BMW,2020 BMW X6,"$65,295 ",
113,,,,BMW,2019 BMW X6 M,"$106,695 ",
114,,,,BMW,2020 BMW X7,"$74,895 ",
115,,,,BMW,2020 BMW 2 Series,"$42,095 ",
116,,,,BMW,2020 BMW 3 Series,"$41,745 ",
117,,,,BMW,2020 BMW 4 Series,"$54,095 ",
118,,,,BMW,2020 BMW 5 Series,"$54,895 ",
119,,,,BMW,2019 BMW 6 Series,"$71,295 ",
120,,,,BMW,2020 BMW 7 Series,"$87,445 ",
121,,,,BMW,2019 BMW 8 Series,"$122,395 ",
122,,,,BMW,2019 BMW i3,"$45,445 ",
123,,,,BMW,2019 BMW i8,"$164,295 ",
124,,,,BMW,2020 BMW M2,"$59,895 ",
125,,,,BMW,2019 BMW M4,"$78,645 ",
126,,,,BMW,2019 BMW M5,"$104,695 ",
127,,,,BMW,2019 BMW M6,"$122,195 ",
128,,,,BMW,2020 BMW X1,"$36,195 ",
129,,,,BMW,2020 BMW X2,"$37,395 ",
130,,,,BMW,2020 BMW X3,"$42,945 ",
131,,,,BMW,2020 BMW X3 M,"$70,895 ",
132,,,,BMW,2020 BMW X4,"$52,095 ",
133,,,,BMW,2020 BMW X5,"$59,895 ",
134,,,,BMW,2020 BMW X6,"$65,295 ",
135,,,,BMW,2019 BMW X6 M,"$106,695 ",
136,,,,BMW,2020 BMW X7,"$74,895 ",
137,,,,BMW,2020 BMW Z4,"$50,695 ",
138,,,,BMW,2020 BMW 5 Series,"$54,895 ",
139,,,,BMW,2020 BMW 7 Series,"$96,545 ",
140,,,,BMW,2019 BMW i3,"$49,295 ",
141,,,,BMW,2019 BMW i8,"$164,295 ",
142,,,,BMW,2021 BMW X3,"$50,595 ",
143,,,,BMW,2020 BMW 5 Series,"$54,895 ",
144,,,,BMW,2020 BMW 7 Series,"$96,545 ",
145,,,,BMW,2019 BMW i3,"$45,445 ",
146,,,,BMW,2019 BMW i8,"$164,295 ",
147,,,,BMW,2021 BMW X3,"$50,595 ",
148,,,,BMW,2020 BMW 2 Series,"$36,295 ",
149,,,,BMW,2020 BMW 4 Series,"$45,945 ",
150,,,,BMW,2019 BMW 6 Series,"$82,495 ",
151,,,,BMW,2019 BMW 8 Series,"$112,895 ",
152,,,,BMW,2019 BMW i8,"$148,495 ",
153,,,,BMW,2020 BMW M2,"$59,895 ",
154,,,,BMW,2019 BMW M4,"$70,145 ",
155,,,,BMW,2019 BMW M6,"$122,195 ",
156,,,,BMW,2020 BMW Z4,"$50,695 ",
157,,,,BMW,2020 BMW 4 Series,"$45,745 ",
158,,,,BMW,2019 BMW 6 Series,"$71,295 ",
159,,,,BMW,2019 BMW i3,"$45,445 ",
160,,,,BMW,2020 BMW 2 Series,"$42,095 ",
161,,,,BMW,2020 BMW 4 Series,"$54,095 ",
162,,,,BMW,2019 BMW 8 Series,"$122,395 ",
163,,,,BMW,2019 BMW i8,"$164,295 ",
164,,,,BMW,2019 BMW M4,"$78,645 ",
165,,,,BMW,2020 BMW Z4,"$50,695 ",
166,,,,Audi,2020 Audi A3,"$34,295 ",
167,,,,Audi,2020 Audi A4,"$38,395 ",
168,,,,Audi,2020 Audi A5,"$43,895 ",
169,,,,Audi,2020 Audi A6,"$55,895 ",
170,,,,Audi,2021 Audi A7,"$70,245 ",
171,,,,Audi,2019 Audi RS 5,"$75,195 ",
172,,,,Audi,2020 Audi S3,"$43,995 ",
