Date,Open,High,Low,Close,Adj Close,Volume,Company,Region
12/2/2019,36.00999832,36.36000061,35.84000015,35.88000107,35.07131577,6782000,General Motors,U.S.
12/3/2019,35.47000122,35.61999893,34.95999908,35.52999878,34.72920227,8211000,General Motors,U.S.
12/4/2019,35.74000168,36.04999924,35.68000031,35.79999924,34.99311447,8962100,General Motors,U.S.
12/5/2019,35.59999847,35.65000153,35.22000122,35.31000137,34.88444519,6892800,General Motors,U.S.
12/6/2019,35.63999939,35.75999832,35.45000076,35.54000092,35.11167145,8404200,General Motors,U.S.
12/9/2019,35.45000076,35.59000015,35.34999847,35.38000107,34.95360184,6922700,General Motors,U.S.
12/10/2019,35.34999847,35.38000107,34.95999908,35.11000061,34.68685532,7594600,General Motors,U.S.
12/11/2019,35.13000107,35.40999985,35.09999847,35.24000168,34.81528854,7754200,General Motors,U.S.
12/12/2019,35.34000015,36.29000092,35.24000168,36.09999847,35.66492081,11352800,General Motors,U.S.
12/13/2019,36.15999985,36.34000015,35.61000061,35.65000153,35.22034836,8276000,General Motors,U.S.
12/16/2019,35.81999969,36.24000168,35.65000153,36.11000061,35.67480469,11233700,General Motors,U.S.
12/17/2019,36.20000076,36.38999939,36.11000061,36.31000137,35.87239456,8869800,General Motors,U.S.
12/18/2019,36.34000015,37.43000031,36.33000183,37.31000137,36.86034012,12651000,General Motors,U.S.
12/19/2019,37.31000137,37.36000061,36.84000015,37.25999832,36.81093979,10774000,General Motors,U.S.
12/20/2019,37.54000092,37.61999893,37.18999863,37.25,36.80106354,13976100,General Motors,U.S.
12/23/2019,37.38999939,37.40999985,36.63000107,36.77000046,36.32684708,8754500,General Motors,U.S.
12/24/2019,36.72999954,36.74000168,36.5,36.58000183,36.13914108,2924200,General Motors,U.S.
12/26/2019,36.59000015,36.59999847,36.33000183,36.47999954,36.04034424,5439700,General Motors,U.S.
12/27/2019,36.56000137,36.70999908,36.43000031,36.56000137,36.11938095,5753500,General Motors,U.S.
12/30/2019,36.5,36.63999939,36.20000076,36.43999863,36.00082397,5353900,General Motors,U.S.
12/31/2019,36.36999893,36.74000168,36.31999969,36.59999847,36.15889359,5160200,General Motors,U.S.
1/2/2020,37,37.38000107,36.54999924,37.38000107,36.92949677,7454400,General Motors,U.S.
