Company,Model,MSRP
Hyundai,Accent ,16270
Hyundai,Eleantra ,20275
Hyundai,Ioniq Elecrtic ,34020
Hyundai,Ioniq Hybrid ,24175
Hyundai,loniq Plug- In Hybrid ,27475
Hyundai,Sonata ,26695
Hyundai,Sonata Hybrid,28725
Hyundai,Sonata Plug -In Hybrid,34355
Hyundai,Kona ,21540
Hyundai,Kona Electric,38330
Hyundai,Nexo ,59875
Hyundai,Palisade,33665
Hyundai,Sante Fe,27415
Hyundai,Tuscon,27840
Hyundai,Venue,18490
Hyundai,Veloater ,19775
Honda ,Accord ,22225
Honda ,Accord Hybrid,26825
Honda ,Civic,20955
Honda ,Civic Type R,37950
Honda ,Clarity Electric ,37575
Honda ,Clarity Full Cell,59445
Honda ,Clarity Plug-In Hybrid,34355
Honda ,Fit,17145
Honda ,Insight ,23885
Honda ,CR-V,26270
Honda ,CR-V Hybrid,28970
Honda ,HR-V ,22040
Honda ,Passport ,33710
Honda ,Pilot ,33770
Honda ,Ridgeline,35020
Honda ,Odyseey,32910
Toyota,Avalon,36870
Toyota,Avalon Hybrid,37955
Toyota,Camry,25420
Toyota,Camry Hybrid,29385
Toyota,Corolla,20780
Toyota,Corolla Hybrid,24355
Toyota,Mirai,59505
Toyota,Prius,25480
Toyota,Prius Prime,28855
Toyota,Yaris,16605
Toyota,4Runner,37240
Toyota,C-HR,22415
Toyota,Highlander,35720
Toyota,Highlander Hybrid,39585
Toyota,Land Cruiser,86740
Toyota,Rav4,24225
Toyota,Rav4 Hybrid,29675
Toyota,Rav4 Prime ,39220
Toyota,Sequoia,51375
Toyota,Venza,33645
Toyota,Tacoma Access Cab,27170
Toyota,Tacoma Access Double Cab,39910
Toyota,Turndra CrewMax,39445
Toyota,Tundra Double Cab,35170
Toyota,Sienna,32760
Toyota,86,28015
Toyota,Gr Supra ,50945
Toyota,Corolla Hatchback ,21560
Toyota,Yaris Hatchback ,18705
Toyota,Corolla Hatchback ,21560
Mazda,Mazda3,21445
Mazda,Mazda6,25045
Mazda,CX-3,21740
Mazda,CX-30,23000
Mazda,CX-5,26370
Mazda,CX-9,35060
Mazda,MX-5 Miata RF,33990
Mazda,MX-5 Miata,27525
Nissan,Altima ,25225
Nissan,Maxima ,35375
Nissan,Sentra,20235
Nissan,Versa,15755
Nissan,Versa Note ,16575
Nissan,Armada,48895
Nissan,Kicks,20165
Nissan,Murano,32825
Nissan,Pathfinder,33075
Nissan,Rogue,26585
Nissan,Rogue Sport,24525
Nissan,Frontier Crew Cab ,28995
Nissan,Frontier King Cab ,27885
Nissan,Titan Crew Cab,40485
Nissan,Titan King Cab,37785
Nissan,Titan Single Cab,32285
Nissan,Leaf,32525
Nissan,370Z,31015
Nissan,GT-R,115335
